time	V(com2)	V(n001)	V(n006)
8.001312500000012e-09	4.996038e-01	1.312500e-01	6.354299e-01
8.003062500000025e-09	5.003743e-01	3.062500e-01	6.310401e-01
8.003500000000029e-09	5.010594e-01	3.500000e-01	6.274105e-01
8.004375000000037e-09	5.043094e-01	4.375000e-01	6.111639e-01
8.004593750000038e-09	5.085170e-01	4.593750e-01	5.972521e-01
8.005031250000042e-09	5.219285e-01	5.031250e-01	5.614269e-01
8.005906250000049e-09	5.420592e-01	5.906250e-01	5.281482e-01
8.007656250000063e-09	5.685434e-01	7.656250e-01	5.091119e-01
8.010000000000000e-09	5.913299e-01	1.000000e+00	4.994138e-01
8.825546874999598e-09	5.913220e-01	1.000000e+00	4.994159e-01
9.010000000000001e-09	5.913220e-01	1.000000e+00	4.994159e-01
9.010976562500001e-09	5.844275e-01	9.023438e-01	5.016240e-01
9.012929687500001e-09	5.590951e-01	7.070312e-01	5.284224e-01
9.016093750000000e-09	5.183399e-01	3.906250e-01	5.952569e-01
9.020000000000001e-09	4.994142e-01	0.000000e+00	6.365189e-01
9.020390625000002e-09	4.994096e-01	0.000000e+00	6.365469e-01
9.022734375000002e-09	4.994158e-01	0.000000e+00	6.365145e-01
9.995624999999972e-09	4.994159e-01	0.000000e+00	6.365141e-01
1.000000000000000e-08	4.994159e-01	0.000000e+00	6.365141e-01
